Round   0, Devices participated 10, Average loss 0.375, Central accuracy on global test data 29.297, Ensemble accuracy on global test data 34.854, Local accuracy on global train data 19.368, Local accuracy on local train data 92.433
Round  44, Devices participated 10, Average loss 0.157, Central accuracy on global test data 83.554, Ensemble accuracy on global test data 74.316, Local accuracy on global train data 31.523, Local accuracy on local train data 95.250
Round  45, Devices participated 10, Average loss 0.159, Central accuracy on global test data 83.544, Ensemble accuracy on global test data 75.244, Local accuracy on global train data 38.958, Local accuracy on local train data 95.900
Round  46, Devices participated 10, Average loss 0.182, Central accuracy on global test data 81.751, Ensemble accuracy on global test data 72.266, Local accuracy on global train data 38.259, Local accuracy on local train data 94.900
Round  47, Devices participated 10, Average loss 0.077, Central accuracy on global test data 83.994, Ensemble accuracy on global test data 76.660, Local accuracy on global train data 36.147, Local accuracy on local train data 97.817
Round  48, Devices participated 10, Average loss 0.142, Central accuracy on global test data 82.652, Ensemble accuracy on global test data 78.525, Local accuracy on global train data 41.589, Local accuracy on local train data 96.067
Round  49, Devices participated 10, Average loss 0.096, Central accuracy on global test data 83.183, Ensemble accuracy on global test data 75.586, Local accuracy on global train data 43.184, Local accuracy on local train data 97.667
Round  50, Devices participated 10, Average loss 0.118, Central accuracy on global test data 85.807, Ensemble accuracy on global test data 73.252, Local accuracy on global train data 39.478, Local accuracy on local train data 96.717
Round  51, Devices participated 10, Average loss 0.115, Central accuracy on global test data 86.318, Ensemble accuracy on global test data 83.975, Local accuracy on global train data 45.391, Local accuracy on local train data 96.500
Round  52, Devices participated 10, Average loss 0.105, Central accuracy on global test data 88.151, Ensemble accuracy on global test data 79.814, Local accuracy on global train data 36.707, Local accuracy on local train data 96.783
Round  53, Devices participated 10, Average loss 0.082, Central accuracy on global test data 87.210, Ensemble accuracy on global test data 72.119, Local accuracy on global train data 41.165, Local accuracy on local train data 97.400
Round  54, Devices participated 10, Average loss 0.064, Central accuracy on global test data 87.250, Ensemble accuracy on global test data 75.801, Local accuracy on global train data 39.641, Local accuracy on local train data 98.017
Round  55, Devices participated 10, Average loss 0.109, Central accuracy on global test data 87.039, Ensemble accuracy on global test data 87.080, Local accuracy on global train data 38.521, Local accuracy on local train data 96.883
Round  56, Devices participated 10, Average loss 0.111, Central accuracy on global test data 87.620, Ensemble accuracy on global test data 81.162, Local accuracy on global train data 43.933, Local accuracy on local train data 96.800
Round  57, Devices participated 10, Average loss 0.080, Central accuracy on global test data 85.186, Ensemble accuracy on global test data 80.186, Local accuracy on global train data 45.474, Local accuracy on local train data 97.750
Round  58, Devices participated 10, Average loss 0.143, Central accuracy on global test data 88.011, Ensemble accuracy on global test data 85.859, Local accuracy on global train data 38.845, Local accuracy on local train data 96.317
Round  59, Devices participated 10, Average loss 0.095, Central accuracy on global test data 89.403, Ensemble accuracy on global test data 83.174, Local accuracy on global train data 46.130, Local accuracy on local train data 97.583
Round  60, Devices participated 10, Average loss 0.130, Central accuracy on global test data 90.164, Ensemble accuracy on global test data 83.779, Local accuracy on global train data 39.363, Local accuracy on local train data 96.733
Round  61, Devices participated 10, Average loss 0.097, Central accuracy on global test data 85.126, Ensemble accuracy on global test data 81.445, Local accuracy on global train data 40.500, Local accuracy on local train data 97.050
Round  62, Devices participated 10, Average loss 0.082, Central accuracy on global test data 89.393, Ensemble accuracy on global test data 79.385, Local accuracy on global train data 42.183, Local accuracy on local train data 97.750
Round  63, Devices participated 10, Average loss 0.103, Central accuracy on global test data 90.785, Ensemble accuracy on global test data 85.762, Local accuracy on global train data 43.643, Local accuracy on local train data 97.417
Round  64, Devices participated 10, Average loss 0.113, Central accuracy on global test data 91.036, Ensemble accuracy on global test data 77.480, Local accuracy on global train data 46.890, Local accuracy on local train data 96.900
Round  65, Devices participated 10, Average loss 0.156, Central accuracy on global test data 91.376, Ensemble accuracy on global test data 83.730, Local accuracy on global train data 48.843, Local accuracy on local train data 95.233
Round  66, Devices participated 10, Average loss 0.109, Central accuracy on global test data 90.915, Ensemble accuracy on global test data 82.803, Local accuracy on global train data 49.651, Local accuracy on local train data 96.850
Round  67, Devices participated 10, Average loss 0.073, Central accuracy on global test data 91.446, Ensemble accuracy on global test data 87.402, Local accuracy on global train data 49.263, Local accuracy on local train data 98.000
Round  68, Devices participated 10, Average loss 0.069, Central accuracy on global test data 88.532, Ensemble accuracy on global test data 83.506, Local accuracy on global train data 50.037, Local accuracy on local train data 98.000
Round  69, Devices participated 10, Average loss 0.073, Central accuracy on global test data 90.805, Ensemble accuracy on global test data 79.600, Local accuracy on global train data 48.811, Local accuracy on local train data 97.833
Round  70, Devices participated 10, Average loss 0.150, Central accuracy on global test data 89.944, Ensemble accuracy on global test data 86.367, Local accuracy on global train data 48.772, Local accuracy on local train data 96.283
Round  71, Devices participated 10, Average loss 0.091, Central accuracy on global test data 90.044, Ensemble accuracy on global test data 85.547, Local accuracy on global train data 48.679, Local accuracy on local train data 97.633
Round  72, Devices participated 10, Average loss 0.086, Central accuracy on global test data 90.244, Ensemble accuracy on global test data 84.990, Local accuracy on global train data 50.542, Local accuracy on local train data 97.483
Round  73, Devices participated 10, Average loss 0.085, Central accuracy on global test data 90.665, Ensemble accuracy on global test data 86.943, Local accuracy on global train data 52.773, Local accuracy on local train data 97.767
Round  74, Devices participated 10, Average loss 0.092, Central accuracy on global test data 91.256, Ensemble accuracy on global test data 83.848, Local accuracy on global train data 47.651, Local accuracy on local train data 97.300
Round  75, Devices participated 10, Average loss 0.095, Central accuracy on global test data 92.057, Ensemble accuracy on global test data 86.982, Local accuracy on global train data 49.988, Local accuracy on local train data 97.167
Round  76, Devices participated 10, Average loss 0.096, Central accuracy on global test data 90.956, Ensemble accuracy on global test data 86.582, Local accuracy on global train data 50.876, Local accuracy on local train data 96.783
Round  77, Devices participated 10, Average loss 0.086, Central accuracy on global test data 91.036, Ensemble accuracy on global test data 85.381, Local accuracy on global train data 50.137, Local accuracy on local train data 97.500
Round  78, Devices participated 10, Average loss 0.071, Central accuracy on global test data 91.947, Ensemble accuracy on global test data 84.062, Local accuracy on global train data 46.077, Local accuracy on local train data 97.950
Round  79, Devices participated 10, Average loss 0.075, Central accuracy on global test data 92.167, Ensemble accuracy on global test data 88.867, Local accuracy on global train data 51.562, Local accuracy on local train data 97.950
Round  80, Devices participated 10, Average loss 0.114, Central accuracy on global test data 91.827, Ensemble accuracy on global test data 82.422, Local accuracy on global train data 50.366, Local accuracy on local train data 96.683
Round  81, Devices participated 10, Average loss 0.081, Central accuracy on global test data 92.728, Ensemble accuracy on global test data 80.898, Local accuracy on global train data 50.852, Local accuracy on local train data 97.517
Round  82, Devices participated 10, Average loss 0.048, Central accuracy on global test data 91.937, Ensemble accuracy on global test data 85.947, Local accuracy on global train data 56.472, Local accuracy on local train data 98.417
Round  83, Devices participated 10, Average loss 0.090, Central accuracy on global test data 91.106, Ensemble accuracy on global test data 86.621, Local accuracy on global train data 53.337, Local accuracy on local train data 97.617
Round  84, Devices participated 10, Average loss 0.149, Central accuracy on global test data 91.186, Ensemble accuracy on global test data 78.223, Local accuracy on global train data 52.620, Local accuracy on local train data 96.417
Round  85, Devices participated 10, Average loss 0.070, Central accuracy on global test data 90.755, Ensemble accuracy on global test data 87.998, Local accuracy on global train data 56.152, Local accuracy on local train data 97.683
Round  86, Devices participated 10, Average loss 0.039, Central accuracy on global test data 90.946, Ensemble accuracy on global test data 86.611, Local accuracy on global train data 56.038, Local accuracy on local train data 98.833
Round  87, Devices participated 10, Average loss 0.075, Central accuracy on global test data 90.755, Ensemble accuracy on global test data 85.391, Local accuracy on global train data 49.387, Local accuracy on local train data 97.750
Round  88, Devices participated 10, Average loss 0.058, Central accuracy on global test data 90.535, Ensemble accuracy on global test data 86.377, Local accuracy on global train data 55.664, Local accuracy on local train data 98.367
Round  89, Devices participated 10, Average loss 0.069, Central accuracy on global test data 90.294, Ensemble accuracy on global test data 82.979, Local accuracy on global train data 60.286, Local accuracy on local train data 98.167
Round  90, Devices participated 10, Average loss 0.064, Central accuracy on global test data 90.555, Ensemble accuracy on global test data 81.162, Local accuracy on global train data 52.622, Local accuracy on local train data 98.067
Round  91, Devices participated 10, Average loss 0.095, Central accuracy on global test data 90.084, Ensemble accuracy on global test data 87.324, Local accuracy on global train data 50.295, Local accuracy on local train data 97.100
Round  92, Devices participated 10, Average loss 0.072, Central accuracy on global test data 91.326, Ensemble accuracy on global test data 88.984, Local accuracy on global train data 55.725, Local accuracy on local train data 97.933
Round  93, Devices participated 10, Average loss 0.062, Central accuracy on global test data 91.937, Ensemble accuracy on global test data 84.922, Local accuracy on global train data 55.388, Local accuracy on local train data 98.067
Round  94, Devices participated 10, Average loss 0.040, Central accuracy on global test data 90.515, Ensemble accuracy on global test data 85.791, Local accuracy on global train data 59.846, Local accuracy on local train data 98.767
Round  95, Devices participated 10, Average loss 0.048, Central accuracy on global test data 92.097, Ensemble accuracy on global test data 77.061, Local accuracy on global train data 65.066, Local accuracy on local train data 98.750
Round  96, Devices participated 10, Average loss 0.177, Central accuracy on global test data 92.298, Ensemble accuracy on global test data 86.631, Local accuracy on global train data 52.852, Local accuracy on local train data 95.267
Round  97, Devices participated 10, Average loss 0.090, Central accuracy on global test data 92.087, Ensemble accuracy on global test data 87.080, Local accuracy on global train data 51.379, Local accuracy on local train data 97.533
Round  98, Devices participated 10, Average loss 0.069, Central accuracy on global test data 92.117, Ensemble accuracy on global test data 80.713, Local accuracy on global train data 53.757, Local accuracy on local train data 98.283
Round  99, Devices participated 10, Average loss 0.109, Central accuracy on global test data 92.458, Ensemble accuracy on global test data 86.162, Local accuracy on global train data 55.312, Local accuracy on local train data 97.033
Round 100, Devices participated 10, Average loss 0.054, Central accuracy on global test data 91.486, Ensemble accuracy on global test data 87.832, Local accuracy on global train data 58.074, Local accuracy on local train data 98.450
Round 101, Devices participated 10, Average loss 0.082, Central accuracy on global test data 93.309, Ensemble accuracy on global test data 86.309, Local accuracy on global train data 55.024, Local accuracy on local train data 97.683
Round 102, Devices participated 10, Average loss 0.129, Central accuracy on global test data 92.899, Ensemble accuracy on global test data 87.002, Local accuracy on global train data 48.816, Local accuracy on local train data 96.117
Round 103, Devices participated 10, Average loss 0.073, Central accuracy on global test data 91.276, Ensemble accuracy on global test data 88.711, Local accuracy on global train data 56.821, Local accuracy on local train data 98.067
Round 104, Devices participated 10, Average loss 0.102, Central accuracy on global test data 91.136, Ensemble accuracy on global test data 85.752, Local accuracy on global train data 54.187, Local accuracy on local train data 97.500
Round 105, Devices participated 10, Average loss 0.118, Central accuracy on global test data 91.436, Ensemble accuracy on global test data 87.207, Local accuracy on global train data 54.260, Local accuracy on local train data 97.217
Round 106, Devices participated 10, Average loss 0.078, Central accuracy on global test data 92.628, Ensemble accuracy on global test data 86.680, Local accuracy on global train data 61.926, Local accuracy on local train data 97.850
Round 107, Devices participated 10, Average loss 0.077, Central accuracy on global test data 90.415, Ensemble accuracy on global test data 70.254, Local accuracy on global train data 55.283, Local accuracy on local train data 97.817
Round 108, Devices participated 10, Average loss 0.063, Central accuracy on global test data 91.777, Ensemble accuracy on global test data 80.664, Local accuracy on global train data 58.796, Local accuracy on local train data 98.117
Round 109, Devices participated 10, Average loss 0.144, Central accuracy on global test data 92.949, Ensemble accuracy on global test data 86.914, Local accuracy on global train data 56.221, Local accuracy on local train data 96.250
Round 110, Devices participated 10, Average loss 0.057, Central accuracy on global test data 93.139, Ensemble accuracy on global test data 89.277, Local accuracy on global train data 62.390, Local accuracy on local train data 98.367
Round 111, Devices participated 10, Average loss 0.090, Central accuracy on global test data 92.648, Ensemble accuracy on global test data 84.297, Local accuracy on global train data 63.801, Local accuracy on local train data 98.017
Round 112, Devices participated 10, Average loss 0.071, Central accuracy on global test data 92.778, Ensemble accuracy on global test data 85.557, Local accuracy on global train data 56.621, Local accuracy on local train data 98.000
Round 113, Devices participated 10, Average loss 0.051, Central accuracy on global test data 91.456, Ensemble accuracy on global test data 85.762, Local accuracy on global train data 60.208, Local accuracy on local train data 98.650
Round 114, Devices participated 10, Average loss 0.059, Central accuracy on global test data 91.727, Ensemble accuracy on global test data 88.584, Local accuracy on global train data 59.358, Local accuracy on local train data 98.450
Round 115, Devices participated 10, Average loss 0.043, Central accuracy on global test data 92.308, Ensemble accuracy on global test data 84.912, Local accuracy on global train data 62.847, Local accuracy on local train data 98.650
Round 116, Devices participated 10, Average loss 0.077, Central accuracy on global test data 92.859, Ensemble accuracy on global test data 89.902, Local accuracy on global train data 53.796, Local accuracy on local train data 97.917
Round 117, Devices participated 10, Average loss 0.075, Central accuracy on global test data 92.468, Ensemble accuracy on global test data 85.127, Local accuracy on global train data 55.332, Local accuracy on local train data 97.967
Round 118, Devices participated 10, Average loss 0.034, Central accuracy on global test data 92.939, Ensemble accuracy on global test data 91.406, Local accuracy on global train data 56.094, Local accuracy on local train data 99.000
Round 119, Devices participated 10, Average loss 0.088, Central accuracy on global test data 93.630, Ensemble accuracy on global test data 90.879, Local accuracy on global train data 59.492, Local accuracy on local train data 97.450
Round 120, Devices participated 10, Average loss 0.078, Central accuracy on global test data 93.299, Ensemble accuracy on global test data 88.359, Local accuracy on global train data 57.773, Local accuracy on local train data 97.817
Round 121, Devices participated 10, Average loss 0.054, Central accuracy on global test data 93.399, Ensemble accuracy on global test data 89.473, Local accuracy on global train data 57.871, Local accuracy on local train data 98.617
Round 122, Devices participated 10, Average loss 0.045, Central accuracy on global test data 93.139, Ensemble accuracy on global test data 90.605, Local accuracy on global train data 62.253, Local accuracy on local train data 98.600
Round 123, Devices participated 10, Average loss 0.037, Central accuracy on global test data 93.560, Ensemble accuracy on global test data 83.994, Local accuracy on global train data 70.190, Local accuracy on local train data 98.967
Round 124, Devices participated 10, Average loss 0.030, Central accuracy on global test data 93.590, Ensemble accuracy on global test data 89.551, Local accuracy on global train data 68.872, Local accuracy on local train data 99.150
Round 125, Devices participated 10, Average loss 0.061, Central accuracy on global test data 93.429, Ensemble accuracy on global test data 91.494, Local accuracy on global train data 66.770, Local accuracy on local train data 98.200
Round 126, Devices participated 10, Average loss 0.064, Central accuracy on global test data 93.610, Ensemble accuracy on global test data 90.771, Local accuracy on global train data 62.903, Local accuracy on local train data 98.433
Round 127, Devices participated 10, Average loss 0.038, Central accuracy on global test data 92.728, Ensemble accuracy on global test data 85.811, Local accuracy on global train data 66.499, Local accuracy on local train data 99.133
Round 128, Devices participated 10, Average loss 0.059, Central accuracy on global test data 92.117, Ensemble accuracy on global test data 87.686, Local accuracy on global train data 61.553, Local accuracy on local train data 98.283
Round 129, Devices participated 10, Average loss 0.060, Central accuracy on global test data 89.493, Ensemble accuracy on global test data 82.920, Local accuracy on global train data 63.611, Local accuracy on local train data 98.183
Round 130, Devices participated 10, Average loss 0.056, Central accuracy on global test data 90.935, Ensemble accuracy on global test data 89.824, Local accuracy on global train data 63.113, Local accuracy on local train data 98.200
Round 131, Devices participated 10, Average loss 0.038, Central accuracy on global test data 90.064, Ensemble accuracy on global test data 81.455, Local accuracy on global train data 58.867, Local accuracy on local train data 98.817
Round 132, Devices participated 10, Average loss 0.082, Central accuracy on global test data 88.321, Ensemble accuracy on global test data 89.150, Local accuracy on global train data 60.862, Local accuracy on local train data 97.950
Round 133, Devices participated 10, Average loss 0.052, Central accuracy on global test data 91.747, Ensemble accuracy on global test data 91.123, Local accuracy on global train data 62.559, Local accuracy on local train data 98.450
Round 134, Devices participated 10, Average loss 0.046, Central accuracy on global test data 86.569, Ensemble accuracy on global test data 91.582, Local accuracy on global train data 60.801, Local accuracy on local train data 98.783
Round 135, Devices participated 10, Average loss 0.045, Central accuracy on global test data 88.281, Ensemble accuracy on global test data 91.016, Local accuracy on global train data 60.706, Local accuracy on local train data 98.650
Round 136, Devices participated 10, Average loss 0.107, Central accuracy on global test data 93.099, Ensemble accuracy on global test data 87.012, Local accuracy on global train data 55.908, Local accuracy on local train data 96.800
Round 137, Devices participated 10, Average loss 0.032, Central accuracy on global test data 92.418, Ensemble accuracy on global test data 89.678, Local accuracy on global train data 67.888, Local accuracy on local train data 98.983
Round 138, Devices participated 10, Average loss 0.084, Central accuracy on global test data 89.593, Ensemble accuracy on global test data 91.074, Local accuracy on global train data 60.872, Local accuracy on local train data 97.583
Round 139, Devices participated 10, Average loss 0.027, Central accuracy on global test data 90.835, Ensemble accuracy on global test data 84.160, Local accuracy on global train data 62.185, Local accuracy on local train data 99.050
Round 140, Devices participated 10, Average loss 0.108, Central accuracy on global test data 91.587, Ensemble accuracy on global test data 83.623, Local accuracy on global train data 63.518, Local accuracy on local train data 96.833
Round 141, Devices participated 10, Average loss 0.062, Central accuracy on global test data 92.548, Ensemble accuracy on global test data 88.408, Local accuracy on global train data 56.943, Local accuracy on local train data 98.200
Round 142, Devices participated 10, Average loss 0.095, Central accuracy on global test data 92.929, Ensemble accuracy on global test data 91.230, Local accuracy on global train data 64.219, Local accuracy on local train data 97.200
Round 143, Devices participated 10, Average loss 0.062, Central accuracy on global test data 92.798, Ensemble accuracy on global test data 88.740, Local accuracy on global train data 61.965, Local accuracy on local train data 98.800
Round 144, Devices participated 10, Average loss 0.031, Central accuracy on global test data 92.798, Ensemble accuracy on global test data 91.475, Local accuracy on global train data 64.390, Local accuracy on local train data 99.100
Round 145, Devices participated 10, Average loss 0.058, Central accuracy on global test data 93.700, Ensemble accuracy on global test data 83.164, Local accuracy on global train data 62.310, Local accuracy on local train data 98.083
Round 146, Devices participated 10, Average loss 0.055, Central accuracy on global test data 93.960, Ensemble accuracy on global test data 90.723, Local accuracy on global train data 62.947, Local accuracy on local train data 98.400
Round 147, Devices participated 10, Average loss 0.062, Central accuracy on global test data 93.740, Ensemble accuracy on global test data 87.832, Local accuracy on global train data 64.775, Local accuracy on local train data 98.333
Round 148, Devices participated 10, Average loss 0.086, Central accuracy on global test data 93.389, Ensemble accuracy on global test data 87.705, Local accuracy on global train data 58.674, Local accuracy on local train data 97.600
Round 149, Devices participated 10, Average loss 0.080, Central accuracy on global test data 93.399, Ensemble accuracy on global test data 90.010, Local accuracy on global train data 63.667, Local accuracy on local train data 97.767
Round 150, Devices participated 10, Average loss 0.058, Central accuracy on global test data 93.059, Ensemble accuracy on global test data 90.703, Local accuracy on global train data 61.108, Local accuracy on local train data 98.400
Round 151, Devices participated 10, Average loss 0.083, Central accuracy on global test data 93.630, Ensemble accuracy on global test data 87.402, Local accuracy on global train data 64.497, Local accuracy on local train data 97.650
Round 152, Devices participated 10, Average loss 0.074, Central accuracy on global test data 93.770, Ensemble accuracy on global test data 89.707, Local accuracy on global train data 67.209, Local accuracy on local train data 97.667
Round 153, Devices participated 10, Average loss 0.130, Central accuracy on global test data 94.161, Ensemble accuracy on global test data 90.615, Local accuracy on global train data 60.525, Local accuracy on local train data 97.483
Round 154, Devices participated 10, Average loss 0.038, Central accuracy on global test data 94.181, Ensemble accuracy on global test data 89.395, Local accuracy on global train data 61.453, Local accuracy on local train data 98.850
Round 155, Devices participated 10, Average loss 0.041, Central accuracy on global test data 94.481, Ensemble accuracy on global test data 89.932, Local accuracy on global train data 68.240, Local accuracy on local train data 98.833
Round 156, Devices participated 10, Average loss 0.069, Central accuracy on global test data 93.109, Ensemble accuracy on global test data 90.605, Local accuracy on global train data 61.919, Local accuracy on local train data 97.767
Round 157, Devices participated 10, Average loss 0.066, Central accuracy on global test data 92.708, Ensemble accuracy on global test data 91.484, Local accuracy on global train data 69.766, Local accuracy on local train data 98.267
Round 158, Devices participated 10, Average loss 0.046, Central accuracy on global test data 93.540, Ensemble accuracy on global test data 90.576, Local accuracy on global train data 66.057, Local accuracy on local train data 98.767
Round 159, Devices participated 10, Average loss 0.032, Central accuracy on global test data 93.530, Ensemble accuracy on global test data 89.512, Local accuracy on global train data 70.366, Local accuracy on local train data 99.083
Round 160, Devices participated 10, Average loss 0.067, Central accuracy on global test data 93.049, Ensemble accuracy on global test data 91.924, Local accuracy on global train data 63.613, Local accuracy on local train data 98.050
Round 161, Devices participated 10, Average loss 0.084, Central accuracy on global test data 94.060, Ensemble accuracy on global test data 91.348, Local accuracy on global train data 65.513, Local accuracy on local train data 97.983
Round 162, Devices participated 10, Average loss 0.025, Central accuracy on global test data 94.060, Ensemble accuracy on global test data 91.064, Local accuracy on global train data 68.203, Local accuracy on local train data 99.417
