Round   0, Devices participated 10, Average loss 0.109, Central accuracy on global test data 25.030, Ensemble accuracy on global test data 21.123, Local accuracy on global train data 11.909, Local accuracy on local train data 97.933
Round  61, Devices participated 10, Average loss 0.020, Central accuracy on global test data 70.272, Ensemble accuracy on global test data 56.367, Local accuracy on global train data 17.773, Local accuracy on local train data 99.467
Round  62, Devices participated 10, Average loss 0.021, Central accuracy on global test data 74.189, Ensemble accuracy on global test data 64.561, Local accuracy on global train data 25.625, Local accuracy on local train data 99.383
Round  63, Devices participated 10, Average loss 0.051, Central accuracy on global test data 74.609, Ensemble accuracy on global test data 63.047, Local accuracy on global train data 16.553, Local accuracy on local train data 98.750
Round  64, Devices participated 10, Average loss 0.016, Central accuracy on global test data 80.158, Ensemble accuracy on global test data 65.869, Local accuracy on global train data 20.239, Local accuracy on local train data 99.567
Round  65, Devices participated 10, Average loss 0.015, Central accuracy on global test data 80.729, Ensemble accuracy on global test data 71.113, Local accuracy on global train data 15.488, Local accuracy on local train data 99.567
Round  66, Devices participated 10, Average loss 0.017, Central accuracy on global test data 80.469, Ensemble accuracy on global test data 57.979, Local accuracy on global train data 22.571, Local accuracy on local train data 99.600
Round  67, Devices participated 10, Average loss 0.043, Central accuracy on global test data 75.030, Ensemble accuracy on global test data 61.670, Local accuracy on global train data 20.862, Local accuracy on local train data 98.850
Round  68, Devices participated 10, Average loss 0.010, Central accuracy on global test data 81.190, Ensemble accuracy on global test data 72.891, Local accuracy on global train data 25.273, Local accuracy on local train data 99.717
Round  69, Devices participated 10, Average loss 0.011, Central accuracy on global test data 77.294, Ensemble accuracy on global test data 71.729, Local accuracy on global train data 26.877, Local accuracy on local train data 99.650
Round  70, Devices participated 10, Average loss 0.017, Central accuracy on global test data 77.123, Ensemble accuracy on global test data 63.887, Local accuracy on global train data 16.375, Local accuracy on local train data 99.483
Round  71, Devices participated 10, Average loss 0.047, Central accuracy on global test data 78.496, Ensemble accuracy on global test data 66.904, Local accuracy on global train data 23.108, Local accuracy on local train data 98.933
Round  72, Devices participated 10, Average loss 0.012, Central accuracy on global test data 80.689, Ensemble accuracy on global test data 68.730, Local accuracy on global train data 25.188, Local accuracy on local train data 99.583
Round  73, Devices participated 10, Average loss 0.022, Central accuracy on global test data 82.051, Ensemble accuracy on global test data 73.145, Local accuracy on global train data 26.748, Local accuracy on local train data 99.467
Round  74, Devices participated 10, Average loss 0.012, Central accuracy on global test data 80.419, Ensemble accuracy on global test data 75.020, Local accuracy on global train data 19.001, Local accuracy on local train data 99.650
Round  75, Devices participated 10, Average loss 0.013, Central accuracy on global test data 84.615, Ensemble accuracy on global test data 79.062, Local accuracy on global train data 19.819, Local accuracy on local train data 99.633
Round  76, Devices participated 10, Average loss 0.033, Central accuracy on global test data 69.391, Ensemble accuracy on global test data 62.832, Local accuracy on global train data 24.751, Local accuracy on local train data 99.117
Round  77, Devices participated 10, Average loss 0.015, Central accuracy on global test data 71.034, Ensemble accuracy on global test data 60.234, Local accuracy on global train data 23.521, Local accuracy on local train data 99.600
Round  78, Devices participated 10, Average loss 0.036, Central accuracy on global test data 78.255, Ensemble accuracy on global test data 56.123, Local accuracy on global train data 19.114, Local accuracy on local train data 98.767
Round  79, Devices participated 10, Average loss 0.011, Central accuracy on global test data 82.572, Ensemble accuracy on global test data 60.146, Local accuracy on global train data 20.715, Local accuracy on local train data 99.717
Round  80, Devices participated 10, Average loss 0.019, Central accuracy on global test data 79.938, Ensemble accuracy on global test data 63.008, Local accuracy on global train data 20.491, Local accuracy on local train data 99.400
Round  81, Devices participated 10, Average loss 0.015, Central accuracy on global test data 74.329, Ensemble accuracy on global test data 53.008, Local accuracy on global train data 21.379, Local accuracy on local train data 99.500
Round  82, Devices participated 10, Average loss 0.006, Central accuracy on global test data 73.978, Ensemble accuracy on global test data 66.260, Local accuracy on global train data 27.700, Local accuracy on local train data 99.900
Round  83, Devices participated 10, Average loss 0.018, Central accuracy on global test data 75.942, Ensemble accuracy on global test data 60.674, Local accuracy on global train data 22.195, Local accuracy on local train data 99.517
Round  84, Devices participated 10, Average loss 0.016, Central accuracy on global test data 78.816, Ensemble accuracy on global test data 74.531, Local accuracy on global train data 25.439, Local accuracy on local train data 99.467
Round  85, Devices participated 10, Average loss 0.040, Central accuracy on global test data 79.357, Ensemble accuracy on global test data 65.391, Local accuracy on global train data 21.636, Local accuracy on local train data 99.250
Round  86, Devices participated 10, Average loss 0.024, Central accuracy on global test data 79.327, Ensemble accuracy on global test data 71.348, Local accuracy on global train data 21.663, Local accuracy on local train data 99.267
Round  87, Devices participated 10, Average loss 0.033, Central accuracy on global test data 85.867, Ensemble accuracy on global test data 63.223, Local accuracy on global train data 19.373, Local accuracy on local train data 99.100
Round  88, Devices participated 10, Average loss 0.009, Central accuracy on global test data 83.794, Ensemble accuracy on global test data 73.535, Local accuracy on global train data 29.695, Local accuracy on local train data 99.783
Round  89, Devices participated 10, Average loss 0.040, Central accuracy on global test data 81.951, Ensemble accuracy on global test data 73.477, Local accuracy on global train data 31.113, Local accuracy on local train data 99.117
Round  90, Devices participated 10, Average loss 0.012, Central accuracy on global test data 86.058, Ensemble accuracy on global test data 48.389, Local accuracy on global train data 13.987, Local accuracy on local train data 99.600
Round  91, Devices participated 10, Average loss 0.014, Central accuracy on global test data 79.858, Ensemble accuracy on global test data 50.732, Local accuracy on global train data 19.370, Local accuracy on local train data 99.567
Round  92, Devices participated 10, Average loss 0.027, Central accuracy on global test data 76.953, Ensemble accuracy on global test data 78.301, Local accuracy on global train data 23.914, Local accuracy on local train data 99.133
Round  93, Devices participated 10, Average loss 0.008, Central accuracy on global test data 84.956, Ensemble accuracy on global test data 71.748, Local accuracy on global train data 30.896, Local accuracy on local train data 99.817
Round  94, Devices participated 10, Average loss 0.014, Central accuracy on global test data 83.714, Ensemble accuracy on global test data 65.850, Local accuracy on global train data 19.426, Local accuracy on local train data 99.517
Round  95, Devices participated 10, Average loss 0.026, Central accuracy on global test data 80.849, Ensemble accuracy on global test data 62.305, Local accuracy on global train data 22.468, Local accuracy on local train data 99.267
Round  96, Devices participated 10, Average loss 0.056, Central accuracy on global test data 73.528, Ensemble accuracy on global test data 67.354, Local accuracy on global train data 27.231, Local accuracy on local train data 99.000
Round  97, Devices participated 10, Average loss 0.010, Central accuracy on global test data 76.252, Ensemble accuracy on global test data 83.164, Local accuracy on global train data 21.628, Local accuracy on local train data 99.767
Round  98, Devices participated 10, Average loss 0.016, Central accuracy on global test data 66.546, Ensemble accuracy on global test data 65.322, Local accuracy on global train data 26.475, Local accuracy on local train data 99.567
Round  99, Devices participated 10, Average loss 0.027, Central accuracy on global test data 66.797, Ensemble accuracy on global test data 64.395, Local accuracy on global train data 24.131, Local accuracy on local train data 99.267
Round 100, Devices participated 10, Average loss 0.012, Central accuracy on global test data 73.698, Ensemble accuracy on global test data 73.271, Local accuracy on global train data 25.669, Local accuracy on local train data 99.600
Round 101, Devices participated 10, Average loss 0.012, Central accuracy on global test data 76.052, Ensemble accuracy on global test data 72.021, Local accuracy on global train data 23.818, Local accuracy on local train data 99.733
Round 102, Devices participated 10, Average loss 0.012, Central accuracy on global test data 80.739, Ensemble accuracy on global test data 65.781, Local accuracy on global train data 29.707, Local accuracy on local train data 99.567
Round 103, Devices participated 10, Average loss 0.017, Central accuracy on global test data 74.439, Ensemble accuracy on global test data 79.492, Local accuracy on global train data 24.746, Local accuracy on local train data 99.567
Round 104, Devices participated 10, Average loss 0.017, Central accuracy on global test data 72.756, Ensemble accuracy on global test data 71.357, Local accuracy on global train data 25.779, Local accuracy on local train data 99.433
Round 105, Devices participated 10, Average loss 0.027, Central accuracy on global test data 77.043, Ensemble accuracy on global test data 75.078, Local accuracy on global train data 33.740, Local accuracy on local train data 99.283
Round 106, Devices participated 10, Average loss 0.050, Central accuracy on global test data 79.247, Ensemble accuracy on global test data 77.617, Local accuracy on global train data 32.585, Local accuracy on local train data 99.333
Round 107, Devices participated 10, Average loss 0.026, Central accuracy on global test data 82.011, Ensemble accuracy on global test data 75.635, Local accuracy on global train data 28.455, Local accuracy on local train data 99.233
Round 108, Devices participated 10, Average loss 0.020, Central accuracy on global test data 83.123, Ensemble accuracy on global test data 61.094, Local accuracy on global train data 29.470, Local accuracy on local train data 99.500
Round 109, Devices participated 10, Average loss 0.054, Central accuracy on global test data 80.238, Ensemble accuracy on global test data 64.941, Local accuracy on global train data 27.063, Local accuracy on local train data 99.033
Round 110, Devices participated 10, Average loss 0.010, Central accuracy on global test data 80.519, Ensemble accuracy on global test data 78.379, Local accuracy on global train data 33.750, Local accuracy on local train data 99.700
Round 111, Devices participated 10, Average loss 0.034, Central accuracy on global test data 83.664, Ensemble accuracy on global test data 41.240, Local accuracy on global train data 24.390, Local accuracy on local train data 99.050
Round 112, Devices participated 10, Average loss 0.027, Central accuracy on global test data 81.731, Ensemble accuracy on global test data 73.311, Local accuracy on global train data 30.386, Local accuracy on local train data 99.250
Round 113, Devices participated 10, Average loss 0.015, Central accuracy on global test data 82.161, Ensemble accuracy on global test data 67.656, Local accuracy on global train data 20.840, Local accuracy on local train data 99.550
Round 114, Devices participated 10, Average loss 0.034, Central accuracy on global test data 78.185, Ensemble accuracy on global test data 53.438, Local accuracy on global train data 18.240, Local accuracy on local train data 98.900
Round 115, Devices participated 10, Average loss 0.009, Central accuracy on global test data 75.080, Ensemble accuracy on global test data 82.871, Local accuracy on global train data 36.392, Local accuracy on local train data 99.800
Round 116, Devices participated 10, Average loss 0.014, Central accuracy on global test data 78.335, Ensemble accuracy on global test data 69.844, Local accuracy on global train data 25.974, Local accuracy on local train data 99.633
Round 117, Devices participated 10, Average loss 0.010, Central accuracy on global test data 79.888, Ensemble accuracy on global test data 73.271, Local accuracy on global train data 24.312, Local accuracy on local train data 99.667
Round 118, Devices participated 10, Average loss 0.028, Central accuracy on global test data 85.156, Ensemble accuracy on global test data 71.230, Local accuracy on global train data 31.055, Local accuracy on local train data 99.117
Round 119, Devices participated 10, Average loss 0.011, Central accuracy on global test data 82.702, Ensemble accuracy on global test data 73.457, Local accuracy on global train data 27.339, Local accuracy on local train data 99.600
Round 120, Devices participated 10, Average loss 0.008, Central accuracy on global test data 83.103, Ensemble accuracy on global test data 79.492, Local accuracy on global train data 39.250, Local accuracy on local train data 99.767
Round 121, Devices participated 10, Average loss 0.013, Central accuracy on global test data 84.325, Ensemble accuracy on global test data 66.680, Local accuracy on global train data 22.925, Local accuracy on local train data 99.600
Round 122, Devices participated 10, Average loss 0.012, Central accuracy on global test data 83.604, Ensemble accuracy on global test data 77.471, Local accuracy on global train data 21.848, Local accuracy on local train data 99.500
Round 123, Devices participated 10, Average loss 0.012, Central accuracy on global test data 83.674, Ensemble accuracy on global test data 69.824, Local accuracy on global train data 22.168, Local accuracy on local train data 99.717
Round 124, Devices participated 10, Average loss 0.020, Central accuracy on global test data 87.370, Ensemble accuracy on global test data 67.363, Local accuracy on global train data 21.531, Local accuracy on local train data 99.333
Round 125, Devices participated 10, Average loss 0.010, Central accuracy on global test data 87.911, Ensemble accuracy on global test data 63.467, Local accuracy on global train data 24.446, Local accuracy on local train data 99.733
Round 126, Devices participated 10, Average loss 0.010, Central accuracy on global test data 78.435, Ensemble accuracy on global test data 55.205, Local accuracy on global train data 25.679, Local accuracy on local train data 99.683
Round 127, Devices participated 10, Average loss 0.019, Central accuracy on global test data 79.237, Ensemble accuracy on global test data 71.221, Local accuracy on global train data 30.464, Local accuracy on local train data 99.583
Round 128, Devices participated 10, Average loss 0.010, Central accuracy on global test data 72.276, Ensemble accuracy on global test data 71.016, Local accuracy on global train data 26.060, Local accuracy on local train data 99.700
Round 129, Devices participated 10, Average loss 0.014, Central accuracy on global test data 76.502, Ensemble accuracy on global test data 73.750, Local accuracy on global train data 36.614, Local accuracy on local train data 99.550
Round 130, Devices participated 10, Average loss 0.009, Central accuracy on global test data 76.132, Ensemble accuracy on global test data 76.406, Local accuracy on global train data 26.685, Local accuracy on local train data 99.800
Round 131, Devices participated 10, Average loss 0.017, Central accuracy on global test data 78.285, Ensemble accuracy on global test data 54.668, Local accuracy on global train data 23.835, Local accuracy on local train data 99.450
Round 132, Devices participated 10, Average loss 0.040, Central accuracy on global test data 78.736, Ensemble accuracy on global test data 80.195, Local accuracy on global train data 32.256, Local accuracy on local train data 98.867
Round 133, Devices participated 10, Average loss 0.040, Central accuracy on global test data 73.407, Ensemble accuracy on global test data 76.914, Local accuracy on global train data 29.170, Local accuracy on local train data 99.250
Round 134, Devices participated 10, Average loss 0.008, Central accuracy on global test data 75.921, Ensemble accuracy on global test data 71.963, Local accuracy on global train data 34.641, Local accuracy on local train data 99.833
Round 135, Devices participated 10, Average loss 0.011, Central accuracy on global test data 80.839, Ensemble accuracy on global test data 81.855, Local accuracy on global train data 25.122, Local accuracy on local train data 99.533
Round 136, Devices participated 10, Average loss 0.013, Central accuracy on global test data 78.846, Ensemble accuracy on global test data 73.848, Local accuracy on global train data 27.527, Local accuracy on local train data 99.617
Round 137, Devices participated 10, Average loss 0.011, Central accuracy on global test data 87.230, Ensemble accuracy on global test data 78.271, Local accuracy on global train data 27.490, Local accuracy on local train data 99.667
Round 138, Devices participated 10, Average loss 0.012, Central accuracy on global test data 88.582, Ensemble accuracy on global test data 80.947, Local accuracy on global train data 28.347, Local accuracy on local train data 99.667
Round 139, Devices participated 10, Average loss 0.038, Central accuracy on global test data 82.712, Ensemble accuracy on global test data 65.420, Local accuracy on global train data 32.952, Local accuracy on local train data 99.083
Round 140, Devices participated 10, Average loss 0.016, Central accuracy on global test data 77.764, Ensemble accuracy on global test data 71.650, Local accuracy on global train data 22.749, Local accuracy on local train data 99.600
Round 141, Devices participated 10, Average loss 0.026, Central accuracy on global test data 82.853, Ensemble accuracy on global test data 82.881, Local accuracy on global train data 29.609, Local accuracy on local train data 99.317
Round 142, Devices participated 10, Average loss 0.012, Central accuracy on global test data 85.617, Ensemble accuracy on global test data 77.344, Local accuracy on global train data 39.731, Local accuracy on local train data 99.683
Round 143, Devices participated 10, Average loss 0.009, Central accuracy on global test data 84.034, Ensemble accuracy on global test data 73.701, Local accuracy on global train data 32.075, Local accuracy on local train data 99.767
Round 144, Devices participated 10, Average loss 0.032, Central accuracy on global test data 85.116, Ensemble accuracy on global test data 73.701, Local accuracy on global train data 31.277, Local accuracy on local train data 99.300
Round 145, Devices participated 10, Average loss 0.016, Central accuracy on global test data 85.707, Ensemble accuracy on global test data 75.928, Local accuracy on global train data 33.252, Local accuracy on local train data 99.550
Round 146, Devices participated 10, Average loss 0.015, Central accuracy on global test data 86.869, Ensemble accuracy on global test data 73.584, Local accuracy on global train data 28.245, Local accuracy on local train data 99.567
Round 147, Devices participated 10, Average loss 0.009, Central accuracy on global test data 88.391, Ensemble accuracy on global test data 76.885, Local accuracy on global train data 27.227, Local accuracy on local train data 99.733
Round 148, Devices participated 10, Average loss 0.008, Central accuracy on global test data 86.308, Ensemble accuracy on global test data 74.189, Local accuracy on global train data 36.042, Local accuracy on local train data 99.767
Round 149, Devices participated 10, Average loss 0.011, Central accuracy on global test data 84.515, Ensemble accuracy on global test data 74.902, Local accuracy on global train data 24.011, Local accuracy on local train data 99.700
Round 150, Devices participated 10, Average loss 0.026, Central accuracy on global test data 84.075, Ensemble accuracy on global test data 70.723, Local accuracy on global train data 32.458, Local accuracy on local train data 99.267
Round 151, Devices participated 10, Average loss 0.014, Central accuracy on global test data 85.196, Ensemble accuracy on global test data 77.832, Local accuracy on global train data 34.028, Local accuracy on local train data 99.617
Round 152, Devices participated 10, Average loss 0.013, Central accuracy on global test data 87.129, Ensemble accuracy on global test data 78.926, Local accuracy on global train data 31.792, Local accuracy on local train data 99.583
Round 153, Devices participated 10, Average loss 0.013, Central accuracy on global test data 84.615, Ensemble accuracy on global test data 75.107, Local accuracy on global train data 24.578, Local accuracy on local train data 99.517
Round 154, Devices participated 10, Average loss 0.007, Central accuracy on global test data 85.968, Ensemble accuracy on global test data 77.354, Local accuracy on global train data 32.915, Local accuracy on local train data 99.833
Round 155, Devices participated 10, Average loss 0.015, Central accuracy on global test data 88.011, Ensemble accuracy on global test data 79.014, Local accuracy on global train data 31.467, Local accuracy on local train data 99.617
Round 156, Devices participated 10, Average loss 0.014, Central accuracy on global test data 83.243, Ensemble accuracy on global test data 74.619, Local accuracy on global train data 26.838, Local accuracy on local train data 99.550
Round 157, Devices participated 10, Average loss 0.022, Central accuracy on global test data 85.357, Ensemble accuracy on global test data 74.697, Local accuracy on global train data 24.006, Local accuracy on local train data 99.400
Round 158, Devices participated 10, Average loss 0.011, Central accuracy on global test data 87.250, Ensemble accuracy on global test data 79.941, Local accuracy on global train data 27.583, Local accuracy on local train data 99.667
Round 159, Devices participated 10, Average loss 0.009, Central accuracy on global test data 87.680, Ensemble accuracy on global test data 83.857, Local accuracy on global train data 37.742, Local accuracy on local train data 99.767
Round 160, Devices participated 10, Average loss 0.011, Central accuracy on global test data 88.532, Ensemble accuracy on global test data 77.090, Local accuracy on global train data 39.658, Local accuracy on local train data 99.700
Round 161, Devices participated 10, Average loss 0.007, Central accuracy on global test data 86.659, Ensemble accuracy on global test data 80.605, Local accuracy on global train data 37.705, Local accuracy on local train data 99.833
Round 162, Devices participated 10, Average loss 0.013, Central accuracy on global test data 83.293, Ensemble accuracy on global test data 83.906, Local accuracy on global train data 42.778, Local accuracy on local train data 99.617
