Round  50, Devices participated 10, Average loss 0.148, Central accuracy on global test data 32.272, Ensemble accuracy on global test data 32.256, Local accuracy on global train data 12.473, Local accuracy on local train data 98.967
Round  51, Devices participated 10, Average loss 0.137, Central accuracy on global test data 42.518, Ensemble accuracy on global test data 40.010, Local accuracy on global train data 16.697, Local accuracy on local train data 99.367
Round  52, Devices participated 10, Average loss 0.133, Central accuracy on global test data 19.141, Ensemble accuracy on global test data 18.008, Local accuracy on global train data 11.829, Local accuracy on local train data 98.933
Round  53, Devices participated 10, Average loss 0.221, Central accuracy on global test data 45.292, Ensemble accuracy on global test data 44.248, Local accuracy on global train data 18.101, Local accuracy on local train data 98.417
Round  54, Devices participated 10, Average loss 0.236, Central accuracy on global test data 17.588, Ensemble accuracy on global test data 17.520, Local accuracy on global train data 12.812, Local accuracy on local train data 98.667
Round  55, Devices participated 10, Average loss 0.328, Central accuracy on global test data 19.241, Ensemble accuracy on global test data 12.129, Local accuracy on global train data 11.814, Local accuracy on local train data 98.167
Round  56, Devices participated 10, Average loss 0.049, Central accuracy on global test data 29.788, Ensemble accuracy on global test data 28.965, Local accuracy on global train data 17.009, Local accuracy on local train data 99.433
Round  57, Devices participated 10, Average loss 0.318, Central accuracy on global test data 25.471, Ensemble accuracy on global test data 25.244, Local accuracy on global train data 18.533, Local accuracy on local train data 98.550
Round  58, Devices participated 10, Average loss 0.276, Central accuracy on global test data 20.272, Ensemble accuracy on global test data 19.600, Local accuracy on global train data 14.575, Local accuracy on local train data 99.033
Round  59, Devices participated 10, Average loss 0.215, Central accuracy on global test data 49.519, Ensemble accuracy on global test data 49.893, Local accuracy on global train data 16.455, Local accuracy on local train data 97.850
Round  60, Devices participated 10, Average loss 0.147, Central accuracy on global test data 28.425, Ensemble accuracy on global test data 26.318, Local accuracy on global train data 13.855, Local accuracy on local train data 99.033
Round  61, Devices participated 10, Average loss 0.347, Central accuracy on global test data 30.940, Ensemble accuracy on global test data 29.834, Local accuracy on global train data 16.082, Local accuracy on local train data 98.600
Round  62, Devices participated 10, Average loss 0.145, Central accuracy on global test data 40.365, Ensemble accuracy on global test data 36.719, Local accuracy on global train data 16.794, Local accuracy on local train data 98.917
Round  63, Devices participated 10, Average loss 0.345, Central accuracy on global test data 30.258, Ensemble accuracy on global test data 28.916, Local accuracy on global train data 13.521, Local accuracy on local train data 97.917
Round  64, Devices participated 10, Average loss 0.222, Central accuracy on global test data 9.756, Ensemble accuracy on global test data 9.521, Local accuracy on global train data 14.243, Local accuracy on local train data 98.517
Round  65, Devices participated 10, Average loss 0.268, Central accuracy on global test data 17.518, Ensemble accuracy on global test data 12.051, Local accuracy on global train data 13.049, Local accuracy on local train data 98.317
Round  66, Devices participated 10, Average loss 0.154, Central accuracy on global test data 35.537, Ensemble accuracy on global test data 37.578, Local accuracy on global train data 18.887, Local accuracy on local train data 98.867
