python main_dfan_ensemble1.py --dataset mnist --model mlp --epochs 1000 --gpu 0 --num_channels 1 --local_bs 10 --frac 0.1 --local_ep 1 --momentum 0.5 --lr_S 0.1 --lr_G 0.01 --nz 100 --epoch_itrs 200 
--nn_refresh 0 --noniid_hard --weight_init kaiming --bias_init zero

Round  81, Devices participated 10, Average loss 0.011, Central accuracy on global test data 81.592, Ensemble accuracy on global test data 81.504, Local accuracy on global train data 48.035, Local accuracy on local train data 99.667
Round  82, Devices participated 10, Average loss 0.011, Central accuracy on global test data 78.398, Ensemble accuracy on global test data 78.242, Local accuracy on global train data 54.854, Local accuracy on local train data 99.650
Round  83, Devices participated 10, Average loss 0.020, Central accuracy on global test data 84.307, Ensemble accuracy on global test data 83.252, Local accuracy on global train data 39.812, Local accuracy on local train data 99.333
Round  84, Devices participated 10, Average loss 0.016, Central accuracy on global test data 85.400, Ensemble accuracy on global test data 84.746, Local accuracy on global train data 49.661, Local accuracy on local train data 99.533
Round  85, Devices participated 10, Average loss 0.024, Central accuracy on global test data 79.502, Ensemble accuracy on global test data 78.770, Local accuracy on global train data 44.260, Local accuracy on local train data 99.367
Round  86, Devices participated 10, Average loss 0.019, Central accuracy on global test data 84.277, Ensemble accuracy on global test data 84.395, Local accuracy on global train data 42.664, Local accuracy on local train data 99.267
Round  87, Devices participated 10, Average loss 0.023, Central accuracy on global test data 81.973, Ensemble accuracy on global test data 81.299, Local accuracy on global train data 44.731, Local accuracy on local train data 99.333
Round  88, Devices participated 10, Average loss 0.015, Central accuracy on global test data 85.449, Ensemble accuracy on global test data 85.391, Local accuracy on global train data 51.768, Local accuracy on local train data 99.567
Round  89, Devices participated 10, Average loss 0.020, Central accuracy on global test data 85.117, Ensemble accuracy on global test data 84.912, Local accuracy on global train data 56.897, Local accuracy on local train data 99.433
Round  90, Devices participated 10, Average loss 0.018, Central accuracy on global test data 81.689, Ensemble accuracy on global test data 81.299, Local accuracy on global train data 36.921, Local accuracy on local train data 99.500
Round  91, Devices participated 10, Average loss 0.017, Central accuracy on global test data 81.670, Ensemble accuracy on global test data 81.504, Local accuracy on global train data 39.458, Local accuracy on local train data 99.483
Round  92, Devices participated 10, Average loss 0.024, Central accuracy on global test data 88.008, Ensemble accuracy on global test data 87.607, Local accuracy on global train data 45.535, Local accuracy on local train data 99.350
Round  93, Devices participated 10, Average loss 0.011, Central accuracy on global test data 83.555, Ensemble accuracy on global test data 83.203, Local accuracy on global train data 60.530, Local accuracy on local train data 99.717
Round  94, Devices participated 10, Average loss 0.012, Central accuracy on global test data 84.609, Ensemble accuracy on global test data 84.424, Local accuracy on global train data 47.908, Local accuracy on local train data 99.567
Round  95, Devices participated 10, Average loss 0.023, Central accuracy on global test data 79.033, Ensemble accuracy on global test data 78.516, Local accuracy on global train data 47.444, Local accuracy on local train data 99.250
Round  96, Devices participated 10, Average loss 0.017, Central accuracy on global test data 83.203, Ensemble accuracy on global test data 82.959, Local accuracy on global train data 48.599, Local accuracy on local train data 99.483
Round  97, Devices participated 10, Average loss 0.014, Central accuracy on global test data 85.420, Ensemble accuracy on global test data 85.156, Local accuracy on global train data 45.029, Local accuracy on local train data 99.583
Round  98, Devices participated 10, Average loss 0.017, Central accuracy on global test data 80.527, Ensemble accuracy on global test data 80.439, Local accuracy on global train data 53.337, Local accuracy on local train data 99.533
Round  99, Devices participated 10, Average loss 0.019, Central accuracy on global test data 83.730, Ensemble accuracy on global test data 82.861, Local accuracy on global train data 48.503, Local accuracy on local train data 99.417
